Date,Total credit,Credit per day
2016-03-17,19495043580808,31758931421
2016-03-17,19495043580808,31758931421
2016-03-18,19528898296433,33854715625
2016-03-19,19564033873058,35135576626
2016-03-20,19601817318514,37783445456
2016-03-21,19638936618179,37119299665
2016-03-22,19675731968258,36795350079
2016-03-23,19713283239297,37551271039
2016-03-24,19742059884199,28776644903
2016-03-25,19777242598831,35182714631
2016-03-26,19811033026029,33790427198
2016-03-27,19843462793176,32429767148
2016-03-28,19877702316183,34239523007
2016-03-29,19913797268282,36094952099
2016-03-30,19949058521020,35261252738
2016-03-31,19982262873871,33204352852
2016-04-01,20014747477789,32484603918
2016-04-02,20052319312940,37571835150
2016-04-07,20329454845641,
2016-04-08,20371872168819,42417323178
2016-04-14,20591353825657,
2016-04-15,20636485760404,45131934747
2016-04-18,20728078305093,
2016-04-19,20778439426203,50361121110
2016-04-23,20979153588535,
2016-04-24,21026970187687,47816599152
2016-04-28,21203173136108,
2016-04-29,21248296393720,45123257612
2016-04-30,21295966755717,47670361997
2016-05-07,21712289556984,
2016-05-08,21754204355386,41914798402
2016-05-09,21799686449181,45482093795
2016-05-17,22075054952397,
2016-05-25,22411126682143,
2016-05-26,22447148086652,36021404509
2016-05-29,22553416125046,
2016-05-30,22583106279197,29690154151
2016-05-31,22614718124500,31611845303
2016-06-01,22649459472876,34741348376
2016-06-02,22686168851520,36709378644
2016-06-03,22720088557839,33919706320
2016-06-04,22755658628235,35570070396
2016-06-05,22791110709328,35452081093
2016-06-06,22825124782316,34014072988
2016-06-07,22860117906080,34993123764
2016-06-08,22889314354317,29196448238
2016-06-09,22917343387587,28029033270
2016-06-10,22945030485586,27687097999
2016-06-11,22970622096150,25591610564
2016-06-12,22996629717109,26007620959
2016-06-13,23021899461660,25269744551
2016-06-14,23045189291058,23289829397
2016-06-15,23069916311577,24727020520
2016-06-16,23093896339560,23980027983
2016-06-17,23116855283424,22958943864
2016-06-18,23140350618921,23495335497
2016-06-19,23163717372344,23366753423
2016-06-20,23188481876264,24764503921
2016-06-21,23214337549112,25855672847
2016-06-22,23239725022578,25387473467
2016-06-23,23262545270972,22820248394
2016-06-24,23283586331416,21041060444
2016-06-25,23305104528516,21518197101
2016-06-26,23327535622585,22431094069
2016-06-27,23352677005078,25141382493
2016-06-28,23376719646491,24042641413
2016-06-29,23400340268919,23620622428
2016-06-30,23423162958174,22822689255
2016-06-30,23423162958174,22822689255
2016-07-01,23446703936187,23540978013
2016-07-01,23446703936187,23540978013
2016-07-02,23470917099909,24213163722
2016-07-02,23470917099909,24213163722
2016-07-03,23496004325921,25087226012
2016-07-03,23496004325921,25087226012
2016-07-04,23521381759796,25377433875
2016-07-04,23521381759796,25377433875
2016-07-05,23546358466707,24976706911
2016-07-05,23546358466707,24976706911
2016-07-06,23570710627735,24352161028
2016-07-06,23570710627735,24352161028
2016-07-07,23595015709531,24305081795
